pv,upper,lower,precision,drive high,drive low
SR04A-PC-S2D-06:I,100,0,3,100,0
SR04A-PC-S2D-06:SETI,0,0,4,100,0
SR04A-PC-SQUAD-01:I,5,-5,3,5,-5
SR04A-PC-SQUAD-01:SETI,0,0,4,5,-5
SR04A-PC-SQUAD-02:I,5,-5,3,5,-5
SR04A-PC-SQUAD-02:SETI,0,0,4,5,-5
SR04A-PC-SQUAD-03:I,5,-5,3,5,-5
SR04A-PC-SQUAD-03:SETI,0,0,4,5,-5
SR04A-PC-SQUAD-04:I,5,-5,3,5,-5
SR04A-PC-SQUAD-04:SETI,0,0,4,5,-5
SR04A-PC-VSTR-01:I,5,-5,3,5,-5
SR04A-PC-VSTR-01:SETI,0,0,4,5,-5
SR04A-PC-VSTR-02:I,5,-5,3,5,-5
SR04A-PC-VSTR-02:SETI,0,0,4,5,-5
SR04A-PC-VSTR-03:I,5,-5,3,5,-5
SR04A-PC-VSTR-03:SETI,0,0,4,5,-5
SR04A-PC-VSTR-04:I,5,-5,3,5,-5
SR04A-PC-VSTR-04:SETI,0,0,4,5,-5
SR04A-PC-VSTR-05:I,5,-5,3,5,-5
SR04A-PC-VSTR-05:SETI,0,0,4,5,-5
SR04A-PC-VSTR-06:I,5,-5,3,5,-5
SR04A-PC-VSTR-06:SETI,0,0,4,5,-5
SR04A-PC-VSTR-07:I,5,-5,3,5,-5
SR04A-PC-VSTR-07:SETI,0,0,4,5,-5
SR04C-DI-EBPM-01:SA:X,10,-10,4,10,-10
SR04C-DI-EBPM-01:SA:Y,10,-10,4,10,-10
SR04C-DI-EBPM-02:SA:X,10,-10,4,10,-10
SR04C-DI-EBPM-02:SA:Y,10,-10,4,10,-10
SR04C-DI-EBPM-03:SA:X,10,-10,4,10,-10
SR04C-DI-EBPM-03:SA:Y,10,-10,4,10,-10
SR04C-DI-EBPM-04:SA:X,10,-10,4,10,-10
SR04C-DI-EBPM-04:SA:Y,10,-10,4,10,-10
SR04C-DI-EBPM-05:SA:X,10,-10,4,10,-10
